code;libellé;date de début de validité;date de fin de validité;20/02/2025
0783;Convention collective des centres d'hébergement et de réadaptation sociale et dans les services d'accueil, d'orientation et d'insertion pour adultes;01/01/1900;
0787;Convention collective nationale des cabinets d'experts-comptables et de commissaires aux comptes;01/01/1900;
0804;Accord national interprofessionnel des voyageurs, représentants, placiers (VRP);01/01/1900;
0822;Convention collective départementale applicable aux mensuels de la métallurgie de la Savoie;01/01/1900;31/12/2023
0827;Convention collective départementale des industries métallurgiques, mécaniques et connexes des Ardennes;01/01/1900;31/12/2023
0828;Convention collective départementale des industries métallurgiques, mécaniques, connexes et similaires de la Manche;01/01/1900;31/12/2023
0829;Convention collective départementale des industries métallurgiques et des industries connexes du Vaucluse;01/01/1900;31/12/2023
0836;Convention collective départementale des industries métallurgiques, mécaniques, électriques, connexes et similaires de la Haute-Savoie;01/01/1900;31/12/2023
0843;Convention collective nationale de la boulangerie-pâtisserie entreprises artisanales;01/01/1900;
0860;Convention collective départementale de la métallurgie et des industries connexes du Finistère;01/01/1900;31/12/2023
0863;Convention collective régionale des industries métallurgiques et connexes d'Ille-et-Vilaine et du Morbihan;01/01/1900;31/12/2023
0878;Convention collective départementale des mensuels des industries métallurgiques du Rhône;01/01/1900;31/12/2023
0887;Convention collective départementale des industries métallurgiques, mécaniques, électriques et connexes de l'Eure;01/01/1900;31/12/2023
0891;Convention collective départementale des pâtissiers confiseurs glaciers de Bordeaux et de la Gironde (pâtisserie);01/01/1900;
0892;Convention collective nationale des cadres et agents de maîtrise de la distribution de films de l'industrie cinématographique;01/01/1900;
0897;Convention collective nationale des services de santé au travail interentreprises;01/01/1900;
0898;Convention collective départementale des industries métallurgiques, mécaniques, électriques, connexes et similaires de l'Allier;01/01/1900;31/12/2023
0899;Convention collective départementale des industries métallurgiques, mécaniques et connexes de la Marne;01/01/1900;31/12/2023
0901;Convention collective départementale des ouvriers de la boulangerie de la Martinique;01/01/1900;
0911;Convention collective départementale des industries métallurgiques, mécaniques, électriques, connexes et similaires de Seine-et-Marne;01/01/1900;31/12/2023
0914;Convention collective départementale des mensuels des industries métallurgiques de l'Ain;01/01/1900;31/12/2023
0915;Convention collective nationale de la branche des sociétés d'expertises et d'évaluations;01/01/1900;
0919;Convention collective du personnel des garages de la Martinique;01/01/1900;
0920;Convention collective départementale des industries métallurgiques électriques et connexes de la Vienne;01/01/1900;31/12/2023
0923;Convention collective départementale de la métallurgie de la Charente-Maritime;01/01/1900;31/12/2023
0930;Convention collective départementale de la métallurgie et des industries connexes de la Sarthe;01/01/1900;31/12/2023
0934;Convention collective départementale des industries métallurgiques mécaniques connexes et similaires de l'Indre;01/01/1900;31/12/2023
0937;Convention collective régionale des industries métallurgiques mécaniques et connexes de la Haute-Vienne et de la Creuse;01/01/1900;31/12/2023
0943;Convention collective départementale des industries métallurgiques mécaniques et connexes du Calvados;01/01/1900;31/12/2023
0948;Convention collective départementale des industries métallurgiques, mécaniques et connexes de l'Orne;01/01/1900;31/12/2023
0953;Convention collective nationale de la charcuterie de détail;01/01/1900;
0959;Convention collective nationale des laboratoires de biologie médicale extra-hospitaliers;01/01/1900;
0965;Convention collective départementale des industries métallurgiques et connexes du département du Var;01/01/1900;31/12/2023
0979;Convention collective locale des industries métallurgiques de l'arrondissement du Havre (Seine-Maritime);01/01/1900;31/12/2023
0984;Convention collective départementale des industries métallurgiques, mécaniques et connexes d'Eure-et-Loir;01/01/1900;31/12/2023
0992;Convention collective nationale de la boucherie, boucherie-charcuterie et boucherie hippophagique, triperie, commerce de volailles et gibiers;01/01/1900;
0993;Convention collective nationale des prothésistes dentaires et des personnels des laboratoires de prothèse dentaire;01/01/1900;
0998;Convention collective nationale des ouvriers, employés, techniciens et agents de maîtrise de l'exploitation d'équipements thermiques et de génie climatique;01/01/1900;
1000;Convention collective nationale du personnel des cabinets d'avocats;01/01/1900;
1001;Convention collective nationale des médecins spécialistes qualifiés au regard du conseil de l'ordre travaillant dans des établissements et services pour personnes inadaptées et handicapées (annexée à la convention collective nationale de travail des établissements et services pour personnes inadaptées et handicapées 0413);01/01/1900;27/11/2023
1007;Convention collective locale d'arrondissement des industries métallurgiques, mécaniques, connexes et similaires de la région de Thiers (Puy-de-Dôme);01/01/1900;31/12/2023
1014;Convention collective des sociétés d'économie mixte d'autoroutes;01/01/1900;
1016;Convention collective nationale des cadres et agents de maîtrise de l'édition de musique (annexée à la convention collective nationale de l'édition 2121);01/01/1900;19/04/2024
1018;Convention collective nationale des cadres techniques de la presse quotidienne départementale française;01/01/1900;01/01/2022
1031;Convention collective nationale de la fédération nationale des associations familiales rurales (FNAFR);01/01/1900;
1043;Convention collective nationale des gardiens, concierges et employés d'immeubles;01/01/1900;
1044;Convention collective nationale de l'horlogerie (annexée à la convention collective nationale de la bijouterie, joaillerie, orfèvrerie et des activités qui s'y rattachent 0567);01/01/1900;02/10/2023
1049;Convention collective départementale du bâtiment, des travaux publics et de toutes professions concourant à l'acte de bâtir ou d'aménager de Saint Pierre-et-Miquelon;01/01/1900;
1050;Convention collective départementale du commerce et des services commerciaux de Saint-Pierre-et-Miquelon;01/01/1900;
1057;Convention collective des consignataires de navire et manutentionnaires de la Martinique;01/01/1900;
1059;Convention collective régionale des industries métallurgiques, électriques, électroniques et connexes de Midi-Pyrénées (Ariège, Aveyron, Gers, Haute-Garonne, Tarn, Tarn-et-Garonne, Lot, Aude convention du 1er avril 1980 );01/01/1900;31/12/2023
1060;Convention collective départementale de la métallurgie de la Martinique;01/01/1900;
1069;Convention collective départementale de la répartition et des dépôts pharmaceutiques de la Martinique;01/01/1900;
1072;Convention collective du travail réglementant le travail de manutention dans le port de Saint-Pierre;01/01/1900;
1077;Convention collective nationale entreprises du négoce et de l'industrie des produits du sol, engrais et produits connexes;01/01/1900;
1083;Convention collective nationale de travail des ouvriers de la presse quotidienne départementale;01/01/1900;01/01/2022
1090;Convention collective nationale des services de l'automobile (commerce et réparation de l'automobile, du cycle et du motocycle, activités connexes, contrôle technique automobile, formation des conducteurs auto-écoles CNPA );01/01/1900;
1113;Convention collective locale des industries de la pipe et du fume-cigarette de la région de Saint Claude (Jura);01/01/1900;
1140;Convention collective départementale des hôtels cafés restaurants de Saint-Pierre-et-Miquelon(HCR);01/01/1900;
1147;Convention collective du personnel des cabinets médicaux;01/01/1900;
1159;Convention collective départementale de la métallurgie de la Nièvre;01/01/1900;31/12/2023
1164;Convention collective locale des industries métallurgiques et annexes de la région de Vimeu (Somme);01/01/1900;31/12/2023
1170;Convention collective nationale de l'industrie des tuiles et briques (CCNTB);01/01/1900;
1182;Convention collective nationale des personnels des ports de plaisance;01/01/1900;
1194;Convention collective nationale des employés de l'édition de musique (annexée à la convention collective nationale de l'édition 2121);01/01/1900;19/04/2024
1203;Convention collective départementale du commerce et des services de la Guadeloupe;01/01/1900;
1225;Convention collective départementale du commerce de la Réunion;01/01/1900;
1232;Convention collective départementale des hôtels de la Guadeloupe;01/01/1900;
1237;Convention collective nationale des centres de gestion agréés;01/01/1900;29/09/2021
1247;Convention collective auto moto de La Réunion;01/01/1900;
1256;Convention collective nationale des cadres, ingénieurs et assimilés des entreprises de gestion d'équipements thermiques et de climatisation;01/01/1900;
1257;Convention collective départementale des employés, agents de maîtrise et cadres de la pharmacie d'officine de la Réunion;01/01/1900;
1261;Convention collective nationale des acteurs du lien social et familial : centres sociaux et socioculturels, associations d'accueil de jeunes enfants, associations de développement social local (SNAECSO);01/01/1900;
1266;Convention collective nationale du personnel des entreprises de restauration de collectivités;01/01/1900;
1267;Convention collective nationale de la pâtisserie;01/01/1900;
1274;Convention collective départementale des industries métallurgiques de la Corrèze;01/01/1900;31/12/2023
1278;Convention collective nationale des personnels PACT et ARIM;01/01/1900;23/08/2024
1281;Convention collective nationale des employés de la presse hebdomadaire régionale;01/01/1900;01/01/2022
1285;Convention collective nationale pour les entreprises artistiques et culturelles (SYNDEAC);01/01/1900;
1286;Convention collective nationale des détaillants, détaillants-fabricants et artisans de la confiserie, chocolaterie, biscuiterie;01/01/1900;
1307;Convention collective nationale de l'exploitation cinématographique;01/01/1900;
1311;Convention collective nationale de la restauration ferroviaire;01/01/1900;
1315;Convention collective régionale des industries métallurgiques, mécaniques et connexes de la Haute-Marne et de la Meuse;01/01/1900;31/12/2023
1316;Convention collective nationale des organismes de tourisme social et familial;01/01/1900;
1325;Convention collective nationale des gérants des coopératives de consommation;01/01/1900;
1326;Convention collective nationale des maîtres de l'enseignement primaire privé dans les classes hors contrat et sous contrat simple et ne relevant pas de la convention collective de travail de l'enseignement primaire catholique;01/01/1900;
1334;Convention collective des psychologues de l'enseignement privé;01/01/1900;
1341;Convention collective départementale des industries agroalimentaires de la Réunion;01/01/1900;
1351;Convention collective nationale des entreprises de prévention et de sécurité;01/01/1900;
1353;Convention collective départementale des industries métallurgiques et connexes de la Dordogne;01/01/1900;31/12/2023
1365;Convention collective départementale de travail des industries de transformation des métaux de Meurthe-et-Moselle (métallurgie);01/01/1900;31/12/2023
1369;Convention collective départementale des industries métallurgiques, électriques, électroniques et connexes de Loire-Atlantique;01/01/1900;31/12/2023
1383;Convention collective nationale des commerces de quincaillerie, fournitures industrielles, fers, métaux et équipement de la maison, employés et personnels de maîtrise;01/01/1900;01/08/2023
1384;Convention collective régionale des vins de Champagne;01/01/1900;
1387;Convention collective locale des mensuels des industries métallurgiques des Flandres;01/01/1900;31/12/2023
1388;Convention collective nationale de l'industrie du pétrole;01/01/1900;
1391;Convention collective régionale concernant le personnel de l'industrie, de la manutention et du nettoyage sur les aéroports ouverts à la circulation publique de la région parisienne (annexée à la convention collective nationale du personnel au sol des entreprises de transport aérien 0275);01/01/1900;31/01/2024
1396;Convention collective nationale pour les industries de produits alimentaires élaborés;01/01/1900;
1404;Convention collective nationale métropolitaine des entreprises de la maintenance, distribution et location de matériels agricoles, de travaux publics, de bâtiment, de manutention, de motoculture de plaisance et activités connexes, dite SDLM;01/01/1900;
1405;Convention collective nationale des entreprises d'expédition et d'exportation de fruits et légumes;01/01/1900;
1408;Convention collective nationale des entreprises du négoce et de distribution de combustibles solides, liquides, gazeux et produits pétroliers;01/01/1900;
1411;Convention collective nationale de la fabrication de l'ameublement;01/01/1900;
1412;Convention collective nationale des entreprises d'installation sans fabrication, y compris entretien, réparation, dépannage de matériel aéraulique, thermique, frigorifique et connexes;01/01/1900;
1413;Accord national professionnel relatif aux salariés permanents des entreprises de travail temporaire;01/01/1900;
1423;Convention collective nationale des entreprises relevant de la navigation de plaisance;01/01/1900;24/11/2020
1424;Convention collective nationale des réseaux de transports publics urbains de voyageurs;01/01/1900;
1431;Convention collective nationale de l'optique-lunetterie de détail;01/01/1900;
1446;Convention collective nationale du travail des personnels enseignant hors contrat et des chefs de travaux exerçant des responsabilités hors contrat dans les établissements d'enseignement techniques privés;01/01/1900;
1468;Convention collective de branche du Crédit Mutuel;01/01/1900;
1472;Convention collective départementale des industries métallurgiques du Pas-de-Calais;01/01/1900;31/12/2023
1480;Convention collective nationale de travail des journalistes;01/01/1900;
1483;Convention collective nationale du commerce de détail de l'habillement et des articles textiles;01/01/1900;
1486;Convention collective nationale applicable au personnel des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils;01/01/1900;
1487;Convention collective nationale du commerce de détail de l'horlogerie-bijouterie;01/01/1900;
1492;Convention collective nationale des ouvriers, employés, dessinateurs, techniciens et agents de maîtrise de la production des papiers, cartons et celluloses;01/01/1900;23/07/2022
1495;Convention collective nationale pour les ouvriers, employés, dessinateurs, techniciens et agents de maîtrise de la transformation des papiers, cartons et celluloses;01/01/1900;23/07/2022
1499;Convention collective nationale de la miroiterie, de la transformation et du négoce du verre;01/01/1900;
1501;Convention collective nationale de la restauration rapide (restauration livrée);01/01/1900;
1504;Convention collective nationale de la poissonnerie (commerce de détail, de demi-gros et de gros de la poissonnerie);01/01/1900;
1505;Convention collective nationale du commerce de détail alimentaire non spécialisé;01/01/1900;
1512;Convention collective nationale de la promotion immobilière;01/01/1900;
1513;Convention collective nationale des activités de production des eaux embouteillées, des boissons rafraîchissantes sans alcool et de bière;01/01/1900;
1516;Convention collective nationale des organismes de formation;01/01/1900;
1517;onvention collective nationale des commerces de détail non alimentaires : antiquités, brocante, galeries d'art (oeuvres d'art), arts de la table, coutellerie, droguerie, équipement du foyer, bazars, commerces ménagers, modélisme, jeux, jouets, puérinatalité, maroquinerie, instruments de musique, partitions et accessoires, presse et jeux de hasard ou pronostics, commerces spécialisés en produits de la vape;01/01/1900;
1518;Convention collective nationale des métiers de l'éducation, de la culture, des loisirs et de l'animation agissant pour l'utilité sociale et environnementale, au service des territoires (ÉCLAT);01/01/1900;
1525;Convention collective locale de la métallurgie de la région dunkerquoise;01/01/1900;31/12/2023
1527;Convention collective nationale de l'immobilier;01/01/1900;
1534;Convention collective nationale des entreprises de l'industrie et des commerces en gros des viandes;01/01/1900;
1536;Convention collective nationale des distributeurs conseils hors domicile (entrepositaires-grossistes, bières, eaux minérales et de table, boissons gazeuses, non gazeuses, sirops, jus de fruits, CHD);01/01/1900;
1539;Convention collective nationale des entreprises du bureau et du numérique Commerces et services;01/01/1900;
